no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,bank_asset_value,loan_status,total_assets
3,0,1,3300000,9800000,6,360,4400000,1,16100000
3,1,0,2800000,5900000,4,461,2800000,1,10900000
2,0,0,7800000,22200000,10,735,6900000,0,37300000
4,0,1,2500000,8400000,12,761,1600000,0,16000000
0,0,0,4400000,10600000,20,653,5400000,0,28200000
0,1,0,7900000,30800000,4,726,5500000,0,43400000
1,0,0,8900000,22600000,18,617,11700000,0,51800000
0,0,0,5600000,13400000,2,460,4100000,1,22300000
1,1,0,1400000,3300000,8,306,800000,1,6700000
5,0,1,500000,1400000,4,471,300000,1,1900000
1,0,1,5100000,15300000,4,628,2700000,0,27800000
3,0,0,9800000,25600000,10,404,11500000,1,68100000
2,0,1,8600000,21600000,16,804,7100000,0,42500000
3,1,0,1600000,3900000,20,804,800000,0,6600000
1,1,1,2500000,6700000,2,502,1400000,1,15400000
0,0,0,9500000,22600000,6,861,5600000,0,66900000
2,1,1,3000000,7800000,14,555,1700000,0,18900000
0,1,0,5100000,13600000,18,351,7600000,1,19800000
2,1,1,7600000,23600000,6,358,10900000,1,45200000
5,0,0,8800000,18800000,14,836,5400000,0,60100000
4,1,1,1100000,2900000,4,554,1600000,0,7900000
3,0,0,8700000,30500000,2,443,8100000,0,38200000
5,1,0,6100000,23600000,4,725,4800000,0,38100000
2,1,1,1900000,7000000,14,818,2100000,0,12800000
1,1,0,9900000,38700000,6,670,6500000,0,67800000
0,0,0,5800000,21100000,6,414,5600000,1,26300000
2,1,1,9500000,37000000,8,887,11700000,0,59300000
3,0,1,7900000,26600000,12,409,8700000,1,41000000
1,1,1,1300000,4500000,14,679,1600000,0,8500000
4,0,1,700000,2600000,18,478,300000,1,3300000
3,0,0,600000,1200000,2,752,700000,0,3900000
0,0,0,9400000,33000000,4,616,7800000,0,45500000
2,1,1,3800000,12500000,14,842,5300000,0,25000000
3,0,1,7800000,26300000,20,840,5300000,0,36600000
3,0,1,7800000,27700000,6,430,5300000,1,36100000
4,1,0,2700000,7000000,4,351,2700000,1,11700000
5,1,0,600000,2300000,4,347,200000,1,1900000
3,1,1,8000000,28800000,10,576,11900000,0,42600000
0,1,1,4000000,11000000,8,799,4200000,0,25200000
1,1,1,3300000,10800000,2,550,4700000,0,20800000
2,0,0,5800000,13300000,4,878,4500000,0,32400000
3,0,1,2400000,4800000,12,895,3300000,0,14400000
4,1,0,7600000,29700000,6,603,11000000,0,33900000
2,1,1,2500000,6900000,12,325,3600000,1,13800000
2,0,0,3300000,11800000,4,393,2600000,0,16200000
3,0,0,9800000,30300000,2,612,5600000,0,47400000
0,0,1,1000000,3800000,8,553,1300000,0,5600000
0,1,1,2500000,8800000,14,389,3600000,1,17200000
0,0,0,1900000,6800000,4,782,2400000,0,8400000
3,0,0,3100000,8500000,12,493,2000000,1,25800000
5,0,1,6000000,11900000,2,629,4200000,0,21700000
5,1,0,6500000,21600000,10,419,6600000,1,34800000
2,1,1,5900000,15800000,2,444,5500000,1,38900000
5,1,1,6500000,15800000,16,301,7100000,1,36500000
0,0,1,3800000,11200000,20,479,5400000,1,19500000
3,1,1,3000000,11400000,10,424,1500000,1,16900000
0,0,0,4300000,16900000,18,469,6200000,1,18000000
4,1,1,3500000,8300000,2,897,1800000,0,26000000
3,1,0,300000,500000,2,477,400000,1,1700000
3,1,1,600000,1400000,16,509,900000,1,3300000
0,0,1,800000,1700000,4,752,400000,0,6600000
0,1,1,5600000,19100000,14,875,7700000,0,36500000
2,1,1,1800000,3600000,4,343,1500000,1,10700000
0,0,0,6800000,20800000,20,819,8000000,0,55100000
2,0,1,4200000,16800000,2,433,3700000,0,17400000
1,1,1,200000,400000,6,768,0,0,1000000
2,0,1,8500000,31800000,6,714,5600000,0,44500000
2,1,1,2800000,10100000,16,531,4100000,1,13000000
0,0,1,3600000,8600000,6,529,5200000,1,18100000
1,1,0,6200000,19500000,20,448,8000000,1,32800000
1,0,0,2700000,10000000,2,584,3400000,0,16900000
1,0,0,6800000,22900000,4,501,4400000,0,30600000
2,1,0,6300000,24500000,18,848,8200000,0,31900000
4,1,0,8800000,19100000,6,586,12400000,0,47000000
1,0,0,5900000,13000000,2,386,3800000,1,33300000
5,1,1,9800000,37900000,18,301,6200000,1,45900000
2,0,0,3300000,8300000,6,653,4600000,0,16100000
4,0,1,300000,500000,14,448,100000,1,1600000
1,1,1,4800000,11600000,16,696,6500000,0,22600000
1,0,0,7500000,28300000,16,707,6700000,0,27100000
2,1,0,8600000,21700000,4,429,6000000,1,47200000
4,1,0,8900000,21100000,6,631,6200000,0,30200000
5,1,1,9600000,29600000,4,446,13200000,0,63000000
0,0,1,7700000,18100000,18,705,6300000,0,35000000
3,1,1,7000000,15200000,2,709,4000000,0,43500000
4,1,1,7800000,19500000,14,739,4400000,0,31300000
3,0,0,5100000,11000000,6,336,7500000,1,17300000
4,0,0,9400000,32600000,4,898,10200000,0,44200000
4,1,1,600000,2100000,6,558,300000,0,4500000
3,0,0,5100000,13300000,4,589,6100000,0,34100000
2,0,1,3800000,14400000,2,301,2400000,1,11300000
2,1,1,5300000,21200000,14,516,7700000,1,28100000
5,1,0,1100000,3600000,12,315,1400000,1,5100000
3,1,0,6400000,14400000,10,546,5100000,1,41800000
0,1,1,5100000,14500000,14,559,6000000,0,24400000
3,0,1,5300000,16900000,2,350,6800000,0,33200000
1,0,0,6700000,18700000,8,583,6900000,0,30500000
2,1,0,4000000,9400000,8,874,4800000,0,18300000
2,1,1,3900000,11600000,8,808,5000000,0,21800000
1,0,1,1600000,4900000,16,487,2000000,1,9300000
3,0,0,2700000,7800000,14,870,2100000,0,16400000
3,0,0,1400000,3800000,8,840,1500000,0,7200000
4,1,1,8000000,19200000,18,682,5300000,0,30400000
3,0,1,8200000,28900000,10,668,10900000,0,57000000
5,0,1,4800000,10300000,8,781,4300000,0,22700000
4,0,0,8100000,19000000,6,375,11900000,1,37700000
4,1,0,5900000,14900000,14,857,3500000,0,28100000
5,0,1,8100000,32100000,6,823,6500000,0,44100000
0,0,0,1400000,5000000,8,686,1500000,0,6900000
1,0,0,1600000,6300000,2,721,900000,0,8800000
4,0,0,4600000,9400000,18,545,6300000,1,14700000
1,1,0,2900000,8900000,6,523,1800000,1,16200000
2,0,1,8600000,24900000,20,607,5400000,0,53000000
4,1,0,3800000,14900000,20,428,2500000,1,22200000
0,1,0,8200000,20300000,4,666,7800000,0,49200000
3,0,0,3200000,10100000,20,704,3900000,0,17200000
0,1,1,8100000,23800000,10,794,8800000,0,41600000
1,0,1,9800000,23300000,12,430,13900000,1,46300000
0,1,0,200000,500000,20,615,200000,0,1300000
0,1,0,6600000,14100000,20,360,7800000,1,37300000
0,1,0,9100000,18300000,14,458,10000000,1,49400000
2,1,0,5500000,20400000,12,887,3300000,0,30500000
4,1,0,7200000,27400000,8,735,9500000,0,47700000
1,1,0,2400000,5600000,16,379,3400000,1,11500000
4,0,0,9600000,25500000,20,544,11100000,1,39200000
1,0,1,5800000,16700000,12,721,7500000,0,28000000
4,1,0,2300000,6000000,8,676,2200000,0,11200000
1,1,0,300000,1200000,4,342,200000,0,2000000
0,1,0,9900000,27000000,16,566,11500000,0,57700000
2,1,0,3500000,14000000,2,355,2900000,0,22100000
2,0,0,4800000,18500000,20,605,5800000,0,25900000
2,1,0,1600000,5200000,16,525,1600000,1,8800000
5,0,1,800000,2500000,12,403,800000,1,3700000
1,0,1,9000000,33500000,18,727,5300000,0,57400000
1,0,0,8300000,28900000,12,529,5800000,1,54700000
4,0,0,2800000,6100000,18,415,2000000,1,14800000
1,0,1,6400000,17300000,10,879,8200000,0,26500000
2,1,1,6000000,12600000,16,649,5100000,0,34000000
0,0,0,2900000,9800000,16,395,2400000,1,18300000
0,0,0,6500000,24100000,20,488,9700000,1,32200000
1,0,1,200000,400000,8,569,300000,0,1100000
1,1,0,8400000,24600000,14,817,8200000,0,46200000
1,0,1,6100000,17800000,20,706,4300000,0,43800000
2,0,1,8000000,31200000,8,553,10300000,0,31300000
5,1,1,900000,1800000,14,464,700000,1,4400000
2,0,0,7300000,20000000,6,729,9100000,0,41700000
4,1,1,3700000,7400000,12,363,4400000,1,22100000
2,0,0,5200000,17200000,12,565,6300000,0,24800000
1,0,0,7200000,21000000,14,421,4600000,1,36900000
0,1,1,9400000,34200000,10,512,6300000,1,61300000
3,1,1,3400000,12400000,2,730,4600000,0,18600000
0,0,0,600000,2300000,8,627,300000,0,4500000
0,1,1,3300000,10000000,16,434,4100000,1,20000000
2,0,1,5900000,14300000,2,410,4100000,1,33200000
3,1,0,1300000,3600000,16,624,1900000,0,8000000
4,0,1,5700000,16900000,4,656,8400000,0,42400000
2,1,0,7700000,27300000,16,758,9100000,0,36700000
4,1,1,7000000,23500000,18,336,7800000,1,44200000
5,0,0,8100000,21900000,18,378,9600000,1,24800000
1,0,1,1900000,4200000,4,620,900000,0,15000000
2,0,0,4500000,9100000,18,593,2500000,0,12900000
0,1,1,9600000,34000000,12,710,7800000,0,72200000
1,1,1,5400000,20700000,8,753,3600000,0,21700000
1,1,1,7800000,27200000,16,454,11400000,1,36600000
1,0,1,8200000,19100000,8,619,6600000,0,60900000
2,0,0,8900000,28500000,6,367,9300000,1,60300000
1,0,0,1400000,3100000,20,384,1800000,1,5600000
2,0,0,1700000,5900000,16,610,1300000,0,7100000
0,0,0,5300000,19500000,12,802,3200000,0,28300000
3,0,0,6500000,25200000,10,858,8100000,0,40300000
2,0,0,5900000,14000000,8,599,6700000,0,32000000
4,0,1,9800000,27000000,2,395,9700000,1,44700000
3,0,1,7700000,16200000,6,380,6400000,1,49100000
1,0,0,7900000,27100000,10,803,6600000,0,52000000
4,0,0,3500000,8900000,20,809,3200000,0,22300000
4,1,0,2400000,6600000,2,722,3000000,0,15000000
5,0,0,9900000,35700000,10,392,13000000,1,51400000
0,0,0,3900000,14500000,8,545,3400000,1,19200000
2,1,1,7300000,28500000,10,799,4300000,0,40400000
0,0,1,6400000,21900000,12,727,5300000,0,49500000
4,0,0,7100000,19800000,18,530,7100000,1,31400000
2,1,0,8800000,19000000,14,637,6100000,0,54700000
5,0,0,7400000,21000000,4,561,3900000,0,51500000
2,1,0,4400000,12000000,20,421,3400000,1,27700000
3,0,1,8600000,30300000,14,459,9100000,1,39900000
3,1,0,6900000,26000000,14,828,3600000,0,37500000
4,0,0,9600000,27500000,20,679,6300000,0,68700000
2,0,1,8100000,25700000,8,455,9500000,1,53600000
0,1,0,2600000,9400000,18,879,2300000,0,9300000
3,0,1,9300000,26100000,14,636,11600000,0,55300000
2,1,1,2100000,5600000,16,426,1200000,1,7800000
4,1,1,9000000,21500000,14,508,13100000,1,58200000
3,1,1,7000000,19200000,4,768,7700000,0,41500000
3,1,0,2200000,6400000,20,667,2900000,0,18500000
5,0,1,7500000,28200000,2,440,6000000,0,38400000
1,0,1,8300000,16800000,2,366,4500000,1,55900000
2,1,0,300000,600000,2,383,400000,1,2000000
0,1,1,300000,800000,4,603,200000,0,1600000
3,0,0,3900000,14900000,4,728,5500000,0,23600000
0,1,0,6600000,20300000,6,549,9800000,1,34800000
0,0,0,4100000,10700000,8,855,3100000,0,23400000
5,0,1,1800000,5300000,12,461,2000000,1,9500000
3,1,1,7000000,16100000,16,379,10000000,1,30200000
2,1,1,5100000,13700000,6,559,5100000,0,30300000
1,1,1,300000,600000,8,816,200000,0,2000000
4,1,1,4300000,11400000,2,560,3300000,0,22800000
0,0,1,3200000,12000000,14,645,3400000,0,18700000
4,1,1,4200000,11500000,6,551,5000000,0,29500000
0,1,1,9600000,22900000,8,515,7800000,1,52300000
4,0,0,1300000,3600000,10,657,1100000,0,8000000
3,1,0,2400000,9300000,2,682,1500000,0,12700000
0,0,0,600000,1600000,10,588,300000,0,2800000
5,0,1,9600000,38000000,10,359,9400000,1,53900000
0,0,0,400000,1200000,4,766,300000,0,2400000
4,0,0,5900000,19900000,14,469,3200000,1,43100000
0,0,1,700000,1400000,10,618,500000,0,3200000
0,1,1,8600000,17700000,20,711,7400000,0,52800000
0,0,1,9000000,34000000,4,549,12400000,0,30900000
3,0,1,5100000,20400000,6,754,7600000,0,16100000
4,1,1,500000,1500000,6,461,200000,1,3500000
2,0,0,1600000,3800000,10,837,1600000,0,10400000
0,0,1,9800000,23900000,14,459,7200000,1,35500000
4,0,0,7800000,29700000,20,614,6300000,0,49500000
4,1,0,6500000,24000000,16,373,6700000,1,26300000
5,0,1,7500000,26500000,12,512,6000000,1,43100000
4,0,1,8900000,23400000,18,781,5800000,0,44500000
4,0,1,1800000,5800000,14,305,2000000,1,7500000
1,1,1,7600000,27800000,6,447,10900000,1,22100000
4,0,1,1200000,4600000,6,757,1500000,0,6900000
5,0,1,2700000,10400000,2,723,1400000,0,13800000
1,1,1,4600000,10900000,12,463,6600000,1,13300000
2,1,0,6900000,18700000,10,699,5200000,0,39700000
4,0,1,8400000,25200000,2,308,10500000,0,45100000
0,0,0,300000,500000,18,702,100000,0,1900000
2,1,1,9500000,37500000,4,456,12900000,0,61100000
3,0,1,1900000,5900000,8,651,1500000,0,9000000
3,1,0,4200000,14500000,20,840,4600000,0,19300000
4,0,1,2200000,7900000,18,848,1600000,0,15300000
5,0,1,7100000,19700000,4,727,5800000,0,44200000
4,0,0,3500000,11600000,10,335,2300000,1,21800000
5,1,0,400000,800000,18,304,400000,1,2800000
2,0,1,8800000,34400000,2,712,5900000,0,52300000
0,1,0,1800000,6600000,10,737,1500000,0,13000000
1,0,1,7600000,29300000,14,690,9100000,0,47900000
1,0,1,1000000,3200000,4,888,1300000,0,5700000
2,1,1,8200000,27200000,10,839,6000000,0,41100000
5,1,1,3600000,12400000,8,333,4000000,1,20500000
5,0,0,9400000,23700000,18,862,5600000,0,47400000
5,1,0,2600000,9100000,4,309,3400000,0,13700000
5,1,0,9500000,30700000,10,823,13100000,0,50300000
0,0,1,3500000,11700000,14,649,4800000,0,14800000
5,1,1,9800000,35700000,10,726,12000000,0,59500000
4,0,0,800000,3100000,18,712,1100000,0,3000000
0,1,0,9700000,37300000,20,701,10500000,0,52400000
3,0,0,6200000,21300000,12,655,5000000,0,37300000
1,1,1,4400000,16600000,18,385,5100000,1,19500000
2,0,0,1800000,3800000,4,777,1400000,0,12400000
3,0,0,1700000,5300000,14,696,800000,0,5500000
3,0,0,3900000,14100000,16,496,2900000,1,18400000
2,0,1,2200000,7900000,6,659,2400000,0,13800000
3,1,1,6300000,17700000,2,542,5300000,1,34100000
2,1,0,2200000,8700000,18,729,1300000,0,14800000
1,0,0,8100000,28400000,6,744,7700000,0,52600000
4,1,0,6800000,17000000,2,749,9400000,0,48900000
0,0,0,4700000,14800000,20,755,3700000,0,32700000
3,0,1,2200000,5300000,2,506,2800000,1,9100000
3,0,1,3500000,13000000,6,391,4300000,1,22900000
1,1,1,3500000,11600000,10,898,4500000,0,14800000
5,1,0,500000,1500000,12,527,200000,1,1800000
5,1,0,9900000,35800000,20,470,14700000,1,67000000
1,0,0,8400000,25000000,12,694,7700000,0,43200000
1,0,0,5000000,18800000,14,325,4300000,1,31600000
4,1,1,5500000,13400000,10,880,2800000,0,21000000
5,0,1,3000000,11900000,14,459,4200000,1,22500000
3,1,1,9400000,21400000,10,323,11300000,1,50200000
4,0,0,7600000,29000000,8,739,8800000,0,52300000
0,1,1,5500000,16300000,10,724,6200000,0,25300000
1,0,0,3100000,7400000,18,487,4500000,1,18800000
3,0,0,7700000,27700000,4,439,6200000,0,48500000
2,0,0,9800000,25400000,2,655,7900000,0,45800000
3,1,0,3200000,9200000,14,443,4500000,1,11600000
2,0,0,700000,2600000,20,489,900000,1,2700000
4,1,1,3100000,8600000,14,427,3700000,1,16800000
0,0,1,4500000,10500000,20,417,5800000,1,21400000
5,1,1,8900000,24800000,18,842,8100000,0,41200000
3,1,0,5900000,23200000,2,307,6300000,0,46600000
2,1,0,1500000,4500000,18,428,1100000,1,11300000
4,1,1,6300000,15200000,16,415,7900000,1,38000000
3,1,1,6500000,18200000,20,405,6700000,1,34500000
4,0,0,8000000,31500000,18,683,9600000,0,48300000
1,0,1,3300000,10600000,14,742,4500000,0,9300000
4,1,0,3900000,10000000,10,530,1900000,1,23400000
3,0,0,1600000,3500000,10,844,1600000,0,11900000
2,1,1,3900000,13900000,18,715,2100000,0,20500000
3,0,1,8000000,26300000,12,476,9000000,1,44700000
2,0,0,2200000,4800000,6,721,2200000,0,8800000
4,1,0,7600000,30300000,12,339,5800000,1,50600000
5,1,1,2700000,6800000,6,461,1700000,1,14700000
2,0,1,6300000,23200000,12,556,5300000,0,39500000
3,1,0,7700000,18700000,8,483,10200000,1,45300000
2,0,0,4500000,17200000,18,406,3300000,1,24200000
2,0,1,9400000,24800000,14,513,7500000,1,79600000
0,1,0,4600000,12600000,16,574,3600000,0,24700000
0,0,1,5200000,15700000,6,692,5500000,0,23600000
5,0,1,8000000,29800000,18,867,9200000,0,54600000
1,1,1,9900000,38500000,2,875,6500000,0,42700000
4,0,1,8500000,18600000,10,597,11600000,0,40800000
2,0,1,4900000,12000000,20,513,4800000,1,40600000
3,0,1,7000000,24200000,2,354,7900000,0,41100000
2,1,0,9600000,25900000,18,647,11500000,0,57300000
1,0,0,9700000,23700000,6,875,10400000,0,64000000
1,0,0,6200000,14300000,20,819,4300000,0,35900000
4,1,1,4100000,9600000,10,521,4900000,1,33100000
0,0,1,6100000,19900000,20,761,7100000,0,20900000
0,0,0,700000,1900000,18,572,300000,0,4400000
3,0,0,6400000,24100000,12,571,7500000,0,43700000
4,0,1,3800000,7800000,20,891,3300000,0,25900000
1,1,0,4900000,14800000,12,895,5200000,0,35100000
2,0,0,2100000,6600000,20,580,2100000,0,14100000
2,0,0,6200000,23400000,8,605,9200000,0,42600000
4,1,0,1600000,5100000,8,705,1900000,0,8300000
1,1,1,1300000,5000000,20,423,1600000,1,5600000
5,1,1,7300000,22500000,2,846,5700000,0,34800000
2,1,0,2100000,5000000,4,542,3100000,1,7900000
5,1,0,600000,2400000,18,631,900000,0,3000000
4,0,0,7000000,24500000,18,318,3600000,1,22300000
1,1,1,3000000,6800000,10,541,2900000,1,22200000
1,0,0,900000,2900000,20,782,800000,0,5000000
2,0,0,9600000,35000000,2,888,5800000,0,57000000
0,0,0,1500000,3600000,14,747,1200000,0,4600000
0,0,1,5000000,18900000,6,641,6700000,0,32400000
3,0,1,500000,1700000,4,640,200000,0,2400000
4,1,0,7600000,28100000,12,324,11100000,1,40900000
4,0,0,5500000,21200000,20,359,6400000,1,28100000
0,1,1,6600000,23300000,12,338,9300000,1,22100000
0,0,0,1400000,3200000,14,384,2000000,1,7300000
5,1,1,8800000,26600000,16,545,7600000,1,66100000
5,1,0,6200000,24200000,18,610,8300000,0,37600000
2,0,1,8300000,27900000,18,840,9200000,0,35200000
3,1,0,2400000,8100000,6,630,2300000,0,17100000
1,0,0,9100000,31200000,4,508,7800000,0,55600000
0,1,1,9500000,34900000,4,535,14000000,0,40500000
1,0,0,1200000,3400000,20,717,900000,0,7100000
2,0,1,7700000,19300000,8,735,10400000,0,26900000
5,0,1,7800000,22000000,20,528,4900000,1,39300000
0,0,1,9400000,20000000,4,350,4700000,1,41900000
0,1,0,1700000,5700000,12,422,900000,1,11000000
5,0,0,4000000,13700000,6,496,3700000,1,17100000
4,1,0,4200000,15500000,18,794,2200000,0,21400000
2,0,0,2400000,7700000,6,719,1600000,0,14400000
3,1,1,2700000,6100000,14,630,2300000,0,17300000
3,1,1,600000,1800000,4,843,400000,0,3400000
2,0,0,4600000,15600000,2,764,5800000,0,25200000
3,0,0,7200000,17700000,4,662,5300000,0,40900000
0,1,0,4700000,15500000,16,311,2700000,1,30500000
4,1,0,4300000,10100000,2,606,5500000,0,20600000
5,0,0,4700000,10200000,16,874,7000000,0,29600000
4,1,1,8700000,30000000,4,370,12100000,0,67800000
1,0,0,7000000,20500000,10,414,5100000,1,47900000
2,1,0,600000,1100000,10,800,900000,0,3700000
1,1,0,6800000,16900000,12,779,4400000,0,47400000
1,1,0,6400000,14100000,20,553,3600000,0,36200000
4,1,0,7600000,29900000,18,445,5700000,1,37100000
3,1,0,9000000,21400000,8,496,12500000,1,55500000
0,0,1,2400000,5900000,10,650,2300000,0,14100000
3,1,0,6800000,17900000,6,783,5500000,0,53400000
5,0,1,3500000,13500000,10,535,3100000,1,21300000
4,0,1,8900000,34000000,20,415,12800000,1,50200000
0,1,0,6000000,15300000,8,709,3500000,0,27000000
3,1,0,700000,2500000,14,819,900000,0,4700000
0,1,1,6800000,17300000,18,841,8700000,0,35100000
4,1,1,5300000,10700000,12,700,2900000,0,38200000
1,0,1,1400000,4200000,4,881,1300000,0,9100000
2,0,1,1400000,4600000,4,804,700000,0,9300000
4,1,0,9200000,21700000,6,653,8600000,0,56700000
1,0,1,7900000,29200000,2,663,10100000,0,60300000
0,1,0,4500000,17500000,10,495,6200000,1,23500000
1,1,0,3800000,9800000,8,335,1800000,1,19400000
5,0,1,1500000,4900000,6,618,900000,0,7600000
3,1,0,1200000,2400000,12,480,1700000,1,6200000
4,1,0,1700000,4900000,18,843,1800000,0,13200000
4,0,0,5200000,14100000,16,483,2700000,1,31800000
1,1,0,1600000,5100000,12,548,800000,1,8500000
4,0,1,6600000,16000000,16,379,4500000,1,43800000
5,1,1,9400000,26600000,20,771,11700000,0,59700000
4,0,1,300000,500000,2,353,400000,1,1900000
5,1,0,4600000,11500000,16,668,5500000,0,19800000
3,1,1,6100000,21300000,2,387,4100000,0,26500000
0,1,1,1500000,4100000,12,789,1300000,0,11000000
0,0,1,400000,900000,2,855,400000,0,1700000
0,1,0,8700000,33600000,14,751,7000000,0,43600000
3,1,0,7000000,21600000,12,739,8400000,0,33700000
4,0,0,4700000,13100000,14,492,6400000,1,19600000
4,1,1,7600000,23800000,16,896,6400000,0,23600000
1,1,1,9200000,24500000,4,545,13300000,1,46300000
5,1,0,9400000,36800000,20,891,8900000,0,49800000
0,0,0,4800000,15100000,6,848,3500000,0,20400000
3,1,1,600000,2400000,12,884,600000,0,2800000
3,0,1,4900000,14300000,14,439,5100000,1,33300000
3,0,1,3300000,8500000,12,586,3900000,0,20400000
3,0,1,9100000,18800000,20,308,4800000,1,45200000
5,0,0,6100000,23500000,16,300,4800000,1,23800000
3,0,1,8400000,19600000,2,741,8300000,0,40400000
4,0,0,7900000,31400000,8,698,5100000,0,56600000
2,1,1,6100000,22300000,10,733,5600000,0,39000000
3,1,1,2000000,4200000,16,571,1300000,0,11400000
3,0,1,9900000,29900000,20,490,7400000,1,46700000
2,1,0,9500000,25400000,16,451,11400000,1,55700000
4,0,1,1900000,6800000,6,559,1200000,0,12000000
4,0,1,6900000,21400000,10,577,6300000,0,29600000
2,1,1,1500000,5000000,4,613,2100000,0,10900000
4,1,0,1900000,3800000,20,785,1500000,0,7700000
0,0,1,2300000,6000000,8,690,2000000,0,14400000
2,1,0,7800000,17100000,14,351,7100000,1,45500000
4,1,0,400000,1000000,10,447,300000,1,1200000
0,0,1,9400000,19200000,20,708,13200000,0,60900000
2,0,0,9100000,21700000,12,549,12200000,1,71200000
1,0,1,9000000,18800000,8,797,7500000,0,36400000
4,1,0,7100000,14300000,14,537,6100000,1,42300000
3,0,0,800000,2500000,12,828,700000,0,3200000
0,0,1,4500000,9600000,14,471,3600000,1,21900000
5,0,0,8500000,25400000,4,336,9000000,1,40300000
3,1,1,2500000,9800000,16,424,1300000,1,13700000
2,0,0,1500000,3300000,18,440,1800000,1,6100000
0,1,0,6200000,17300000,8,583,3300000,0,21200000
1,1,1,1300000,2900000,6,480,1400000,1,6100000
5,1,0,6600000,25800000,10,670,8500000,0,32400000
0,0,1,5300000,13700000,6,329,2800000,1,27600000
5,1,0,1400000,3000000,6,754,1400000,0,11500000
2,1,1,2900000,7800000,18,588,4200000,0,12100000
3,1,0,6500000,16500000,4,551,7600000,0,24600000
3,0,0,8300000,18900000,4,316,8200000,1,51200000
2,1,1,8900000,32200000,12,382,5400000,1,31800000
3,0,0,5300000,15000000,6,717,5300000,0,28200000
0,0,0,2800000,7300000,6,676,3200000,0,11400000
1,1,0,8000000,27800000,6,667,9900000,0,41100000
3,1,0,3900000,10500000,20,821,3900000,0,18900000
0,0,0,6200000,20100000,20,345,4100000,1,32600000
3,1,1,5900000,19200000,10,442,4700000,1,28300000
1,0,1,6000000,23300000,12,672,6400000,0,32900000
3,1,1,9100000,29300000,2,508,11900000,0,55700000
5,0,1,3400000,12300000,10,615,3500000,0,20000000
1,0,1,1800000,4400000,8,689,1600000,0,9500000
1,0,0,300000,1200000,18,747,200000,1,800000
1,0,1,9000000,22800000,10,412,4700000,1,47600000
1,0,0,6400000,16900000,2,703,7400000,0,29500000
5,1,0,5800000,22200000,16,884,8500000,0,25500000
5,0,1,2600000,8600000,18,651,2600000,0,8900000
4,1,0,6600000,17300000,14,793,3900000,0,35600000
2,1,0,6100000,21800000,4,407,5800000,0,30100000
2,1,0,4100000,11100000,8,390,3400000,1,14000000
3,1,1,300000,1000000,12,469,300000,1,1700000
4,0,0,4700000,10400000,6,373,5400000,1,29700000
4,0,1,1500000,5800000,2,304,1400000,0,7300000
5,1,0,2700000,8300000,8,833,3300000,0,12700000
2,0,0,6900000,20900000,2,302,9200000,0,56300000
0,0,0,7600000,28700000,6,397,3800000,1,48800000
1,0,0,4100000,10000000,6,891,3600000,0,17800000
3,1,0,4100000,12200000,2,457,4900000,1,15300000
4,1,0,1600000,3200000,16,657,1200000,0,6000000
2,1,1,400000,1400000,2,480,200000,0,2500000
5,0,1,4400000,17300000,20,840,2300000,0,21600000
2,1,1,3800000,8000000,12,866,1900000,0,15000000
0,1,0,4300000,17000000,8,619,3900000,0,27800000
1,0,1,9000000,33500000,2,748,11500000,0,43400000
3,1,1,9500000,25500000,12,881,8900000,0,62700000
2,0,1,6900000,13900000,8,829,4600000,0,44800000
3,1,0,4300000,11100000,6,312,3300000,1,18700000
3,1,0,6600000,21400000,10,467,5200000,1,41500000
1,0,1,5200000,14300000,18,650,3600000,0,25300000
3,0,1,400000,1100000,6,711,100000,0,1800000
4,1,0,1300000,4100000,18,886,600000,0,7100000
5,1,0,9700000,28400000,4,494,10000000,1,41700000
2,0,1,5400000,10900000,14,741,5600000,0,27700000
4,1,0,1200000,3300000,12,876,1000000,0,4300000
0,0,1,7000000,26400000,14,610,5300000,0,28200000
5,0,0,7600000,26000000,6,778,10900000,0,40800000
5,0,1,700000,1800000,14,571,400000,0,2500000
3,0,1,7500000,25100000,18,554,4700000,0,48900000
0,1,1,2300000,6200000,8,712,1500000,0,17300000
5,1,1,5600000,11500000,4,695,7800000,0,28300000
0,1,1,5400000,10900000,20,366,4800000,1,25200000
1,1,1,1800000,5500000,10,426,1600000,1,12400000
0,1,0,2900000,6900000,10,320,1500000,1,13300000
3,1,1,1400000,4600000,8,543,2000000,1,5400000
2,0,0,2800000,11000000,16,525,2400000,1,15800000
0,1,1,3300000,13100000,12,812,4300000,0,17200000
0,1,0,7000000,25300000,14,697,6700000,0,39800000
1,1,0,3900000,15100000,12,527,3800000,1,26800000
1,1,0,5700000,17200000,4,512,3000000,0,32700000
0,0,0,4100000,9200000,4,671,4900000,0,20100000
1,0,1,2200000,8700000,20,539,2600000,1,13200000
5,1,0,2200000,7200000,10,532,1600000,1,10500000
3,1,1,2500000,7700000,16,485,3200000,1,11200000
0,1,1,900000,2100000,6,521,700000,1,3900000
1,1,0,2900000,7400000,10,874,3300000,0,11700000
2,1,0,9800000,22900000,10,788,14000000,0,38800000
2,1,0,5200000,14800000,12,659,4100000,0,34800000
1,0,1,8600000,19600000,16,498,5300000,1,38800000
2,0,1,4800000,13200000,20,310,4200000,1,29300000
0,0,0,2000000,4700000,6,785,1700000,0,11400000
0,0,0,3600000,8700000,10,309,3300000,1,15900000
